type,id,name,rarity,bucket,unlock_battle,rationale
gear,dead_mans_chip,Dead Man's Chip,rare,1,3,once-per-battle death save - one sentence
gear,phase_weave,Phase Weave,uncommon,2,6,start cloaked - paired with ghost_veil's bucket
gear,targeting_optic,Targeting Optic,uncommon,3,9,start with first target marked - needs mark understood
gear,mainline_bus,Mainline Bus,legendary,4,12,battle-start protocol family tier 2
gear,hemophage_nexus,Hemophage Nexus,legendary,5,16,leech family tier 2
gear,overkill_matrix,Overkill Matrix,legendary,6,22,first-ability bonus family tier 2
gear,ignition_coil,Ignition Coil,rare,7,29,burn ticks once immediately - subtle timing change
gear,payload_fuse,Payload Fuse,rare,8,37,detonate amplifier - needs the detonate keyword
gear,overload_capacitor,Overload Capacitor,rare,10,54,20-face trigger - rides the final-face-20 rule
gear,echo_matrix,Echo Matrix,rare,12,73,first ability echoes its damage - damage-repeat semantics
gear,anchor_frame,Anchor Frame,rare,13,84,conditional taunt above 50% HP - HP-threshold state
gear,mirror_plate,Mirror Plate,rare,14,96,pays out when the ENEMY tampers your die - reactive economy
gear,reverse_gimbal,Reverse Gimbal,uncommon,15,109,nudge may subtract - UX ruling still pending (DECISIONS #11); late gate buys time
gear,killswitch_relay,Killswitch Relay,legendary,15,109,on-death AoE - rewards dying
gear,wide_aperture,Wide Aperture,rare,15,109,band modification - moves the dice zones themselves
gear,band_compressor,Band Compressor,legendary,16,123,band modification - widens the 20 band
gear,sync_antenna,Sync Antenna,legendary,17,138,matching rolls with an ally - cross-unit dice reading
relic,overcharge,Overcharge,-,0,0,global damage multiplier - simplest relic shape
relic,ironCurtain,Iron Curtain,-,0,0,global enemy damage multiplier
relic,coordinatedStrike,Coordinated Strike,-,0,0,permanent +2 roll
relic,signalJam,Signal Jam,-,0,0,permanent enemy -2 roll
relic,bulwarkAura,Bulwark Aura,-,0,0,flat shield per turn
relic,naniteField,Nanite Field,-,0,0,flat heal per turn
relic,gravityWell,Gravity Well,-,2,6,flat AoE damage per turn
relic,plagueProtocol,Plague Protocol,-,3,9,enemies start burning
relic,overflowBuffer,Overflow Buffer,-,3,9,protocol carryover - changes the between-battle economy
relic,fieldCache,Field Cache,-,4,12,battle-start consumable grant
relic,curatedCache,Curated Cache,-,5,16,reward-pool filter - a relic about the reward system itself
relic,chainReaction,Chain Reaction,-,6,22,on-death AoE chain
relic,emergencySignal,Emergency Signal,-,7,29,conditional HP-threshold squad buff
relic,aegisField,Aegis Field,-,8,37,every heal also shields the squad - event composition
relic,mercyProtocol,Mercy Protocol,-,9,45,revive modifier - composes with revive sources
relic,scavengerManifest,Scavenger Manifest,-,9,45,first kill drops a consumable
relic,protocolOverride,Protocol Override,-,10,54,items cost 0 and refund - inverts the item economy
relic,entropyLeak,Entropy Leak,-,10,54,battles 6+ enemies spawn at 85% - conditional late-run scaling
relic,staticField,Static Field,-,11,63,turn-1 enemy jam - die suppression
relic,salvageDirective,Salvage Directive,-,11,63,marked-kill protocol refund - two-keyword composition
relic,resonanceCascade,Resonance Cascade,-,12,73,burn tick amplifier
relic,coldLogic,Cold Logic,-,12,73,bonus vs frozen dice - freeze synergy
relic,chainDoctrine,Chain Doctrine,-,13,84,chains jump one extra time - keyword modifier
relic,overflowVent,Overflow Vent,-,13,84,protocol past cap becomes damage - overflow conversion
relic,twinFates,Twin Fates,-,14,96,copy one hero die to another - direct dice surgery
relic,standingOrder,Standing Order,-,14,96,band modification for every unit
relic,openingGambit,Opening Salvo,-,15,109,battle-start HP swing both ways - high-variance gamble
relic,overloadLoop,Overload Loop,-,16,123,20s resolve twice - stacks rules on the 20 face
relic,martyrdomProtocol,Vengeance Protocol,-,16,123,ally death triggers all-20s - death-as-resource
relic,deadMansHand,Dead Man's Hand,-,17,138,squad-wipe save + all 20s - rewrites the loss rule itself
