path,group,width,height,nonopaque_percent,alpha_bbox,bytes,sha256,reference_evidence,owners
assets/icons/items/cascade_jammer.png,items,128,128,79.7,"(7, 5, 121, 123)",31664,aa59efc0756adec2ac6e18c807a4432eb622b0b28803d5fcdaee7a41610c13ea,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/chainDoctrine.png,items,128,128,97.4,"(39, 5, 89, 123)",9520,ccc48775bb3f0a076d6b5763e6eac44b08a7f4d4300ec16484a73301e477cb49,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/chainReaction.png,items,128,128,88.5,"(5, 14, 123, 114)",25413,bb0dc545c12714c5809989da170cce09f2990b635b497eaa4d634f7b10f2f3c3,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/chitinGraft.png,items,128,128,42.6,"(0, 2, 128, 126)",27962,5f2948631d58fa153ac82dcb6f4878abd6a905c27cc0ded69aa459b17faf3923,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/citadel_kernel.png,items,32,32,,,1261,f3cca137b20fb360db214592ea0c4d2865466d6a0913abf733092a4ab2b6e086,unverified / source variant,
assets/icons/items/coldLogic.png,items,128,128,89.8,"(37, 5, 91, 123)",16277,503c56f4dc5f455bd056c707215afebfc1dc94aa1e9fcd326abd846af625d581,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/combat_plating.png,items,128,128,56.4,"(10, 5, 118, 123)",27604,1bdd30fde2b929d680c4a5cec37f5266784dcc69cef483ba8a075e4446102e79,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/coordinatedStrike.png,items,128,128,78.5,"(18, 5, 109, 123)",22185,ce67337514f5b9b6ef7bbdaa8982073df783996379d61a2839626f979b790d28,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/core_surge.png,items,128,128,94.7,"(29, 5, 100, 123)",12750,e1acd80c6e243b7e7d0ac786529bf49dde690e18ea299b94d92c1034baf44404,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/corrosion_bomb.png,items,128,128,82.0,"(23, 5, 105, 123)",20751,d7e0171c44075c955dfcf856aff652504e75fd8a200ba2f02c83d1782168ce7c,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/counterweight.png,items,128,128,69.2,"(5, 11, 123, 117)",25348,d1c5e7c11d691d0ef8566524bc51dca5330e94aa2c2cebe935949fa27a4d61aa,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/cryo_gel.png,items,128,128,77.3,"(18, 5, 110, 123)",18368,17a6a5271c27b54b0451d63ef94c600ca0c09a0f96f352e52176880d8b414d66,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/cryo_web.png,items,128,128,60.2,"(7, 5, 121, 123)",24649,785bb4d28a6ca8a2d61dd5de960fc7d6614009a784e24bdea36e346165d95452,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/curatedCache.png,items,128,128,92.1,"(5, 23, 123, 105)",20216,0bec65db13829f097e4d7d06d667fa369701de9b275fe7b2339614e507b0eb41,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/dead_mans_chip.png,items,128,128,88.8,"(5, 14, 123, 114)",18649,11e274fe8b082d8d7eed1c56665cac5d889be38c0c3fb3b451d3b08bc8bd6219,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/deadMansHand.png,items,128,128,86.5,"(21, 5, 107, 123)",21732,0246bb177b59e8ff5c6720e12a4d5c0428459c5a19eaa1e0f5936f07e4b5b6d3,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/deep_zero_pin.png,items,128,128,94.9,"(29, 5, 98, 123)",8319,fd8cbeefe9ecb653b92d35ed2aab7c28e9e42addce2407ac13c04ad0253b8682,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/defib_spark.png,items,128,128,87.7,"(5, 21, 123, 107)",15559,1915e77c6e5b1646bc1c313d6328e0d37791e2921b12b93ff74bab6109d128c5,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/double_tap_chip.png,items,32,32,,,1192,6a12adfeedd5d0ff84cf47821ecd1234bbf2160ba076c9c898c91ba61d33a8dd,unverified / source variant,
assets/icons/items/echo_matrix.png,items,128,128,65.7,"(5, 11, 123, 117)",28044,40a78bb4fa938af363276dcb4137ef8fc28fdcd57bd1bfaf524c0e3417242aee,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/emergencySignal.png,items,128,128,79.8,"(5, 9, 123, 117)",25808,1d806286660e6a596fd8b1c4c2872190949711ebf03bbfdf0a3b8cc65c00e96f,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/entropy_seed.png,items,128,128,80.5,"(5, 5, 123, 122)",28868,0ca0af2906667856a9758bd9866385ff72be202642265eb8789d18c544daf0ce,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/entropyLeak.png,items,128,128,85.8,"(24, 5, 104, 123)",24362,6fac2434988bcf40da35c14af272e6acac45382cc9ecd55bfe79d0769068b498,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/exile_blade_core.png,items,32,32,,,1329,f5c594526273ef5c3e3279965c92d9eb8b9de94e1863a6bb309825973a658d21,unverified / source variant,
assets/icons/items/field_manual.png,items,32,32,,,1218,0efee998b823bb810dad92f8f043bbe52de3fd304a8e977fc5002eb750a6f281,unverified / source variant,
assets/icons/items/field_meds.png,items,32,32,,,1348,668cedb7d2748f195634b77ce26246f3ba6012dd8706142b299e8b70f8300e25,unverified / source variant,
assets/icons/items/fieldCache.png,items,128,128,81.9,"(5, 12, 123, 116)",28266,15363c7e888b580d2fe759bcc0c0d9d1d8b90771f1300b2e736a71214d9ef3fb,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/full_restore.png,items,32,32,,,1282,b780c6f05350f191e944c0029b767d60f083b8b6b49ae8b21b07353e8e07e5bd,unverified / source variant,
assets/icons/items/ghost_veil.png,items,128,128,64.9,"(5, 12, 123, 116)",23996,1ec2104d8a8631985435d2159498650e47a5b2252eaa17a3e67d38f71f3c69d5,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/gravityWell.png,items,32,32,,,1250,656d0a23be6d092cd21669c60a08c079f3b5d200f74c113ea6130b9ced3fbb2d,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/grounding_clip.png,items,128,128,87.1,"(5, 15, 123, 113)",18630,f5120b985f6e99d88729b9397cc919f1f8909c39f43e6089acf87ec1195c0086,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/gyro_motor.png,items,32,32,,,1354,54527da965b5118a231469b931b78483b63069bb2c9096ee78521c8e642b9cef,unverified / source variant,
assets/icons/items/harmonic_injector.png,items,128,128,91.5,"(5, 13, 123, 115)",15214,ed8e42973fe1038adf49341e0c65e7c44c41845c7ee5ec3dc4b1e7aa15e92f21,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/hemophage_nexus.png,items,128,128,90.9,"(5, 20, 123, 108)",20467,e9154e4ba147f9137d3af1970c9fd94192348bc7db7b175329d0ae9553d655ab,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/ignition_coil.png,items,128,128,91.3,"(31, 5, 98, 123)",13393,f66193dbcc9452e9898270f60a967391a2cbf5d1fc755fb94eb3e480bde90b96,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/ironCurtain.png,items,128,128,90.4,"(32, 5, 97, 123)",16744,0e01e80d535e19e69d6aaff3e64889e8a428716220a4082e4eaaa5896bb11bc3,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/kill_switch.png,items,128,128,95.4,"(27, 5, 101, 123)",10530,1d54d8265554cb2cd203e0a7b23ed60aba9cdc45d4b2cc7630e7fb94c5b30e70,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/killswitch_relay.png,items,128,128,94.7,"(28, 7, 100, 123)",13171,b341d8301d159ca56b1c66b414fc96903ae0bb97e9267ae9012c8246bbe657d4,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/mainline_bus.png,items,128,128,85.7,"(24, 7, 104, 123)",15007,13da1f86a0ccf6c1f55efeb1cae4d22507004886a45800123ec2bdcb62e53ad4,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/mainline_cache.png,items,128,128,88.8,"(30, 5, 100, 123)",15599,9d8ceed6b88acc67cb118f46a742df45b13c54c867fc19a2ca8ba6283a90e995,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/mantleCore.png,items,128,128,27.0,"(4, 0, 124, 128)",31633,a8563f5e2c13b0a1a3a9c1aa8264a206f2104a7c52538ff419b8c73715a38986,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/martyrdomProtocol.png,items,128,128,83.7,"(5, 9, 123, 118)",30571,e3b6d8754ae6d3aa23e0581a4e908e1aa2988f60c9256fcf82e78c5c28935dec,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/mercyProtocol.png,items,128,128,63.8,"(9, 5, 119, 123)",32687,6e06c3cb765ea15eed88222de611496dd91d6b749d1282c13eb055d15dd8d8df,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/mirror_plate.png,items,128,128,78.7,"(29, 5, 100, 123)",15259,bba63a34ec251b63f89942d47e02eedee073b8da389ded90d7141e87472b2900,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/mnemonic_core.png,items,32,32,,,1238,c9902b0c1838392d7ddb15a449155c840cfab9e38244c4a2c06761d96937d34b,unverified / source variant,
assets/icons/items/momentum_core.png,items,128,128,82.7,"(5, 9, 123, 119)",22384,eb827ff67c1738d012a6df63751bab2b7c93df151e3d7d532e4e0ce601727ae9,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/nanite_burn.png,items,32,32,,,1300,3638bfb025fc1c160ad86228d262685dae516404a5fe3afec71d1f7194ebfa0a,unverified / source variant,
assets/icons/items/nanite_salve.png,items,32,32,,,1176,baa186a903d243a7463376248a2f6a0ce4ab5fa834d946377d8d7d7fc6257de8,unverified / source variant,
assets/icons/items/naniteField.png,items,128,128,94.1,"(32, 5, 96, 123)",14201,49bb6ecd061b77a7fe414e870e94b0d82a28c101c73900fd1a2ed554fa8909e4,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/neural_splice.png,items,128,128,76.6,"(9, 5, 118, 123)",18156,1234b74d216d79b965fd290f8c9a4ced4143cb1c3ffce4c9a987fcfd92bce5d5,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/null_vector.png,items,32,32,,,1190,ed52b161252044afa7d36c8594848e21986aed034c1b9ed8f599a71d88b2b135,unverified / source variant,
assets/icons/items/openingGambit.png,items,128,128,91.3,"(31, 5, 97, 121)",12602,f546303065a1d9733798b4b640255752edb23d18287e8c06f66f7c048766e2e0,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/oracle_lens.png,items,32,32,,,1282,8c7a863b314ecad8cdb24322eec1a432d555afe6514c37c5233ffcff652752fa,unverified / source variant,
assets/icons/items/overcharge.png,items,128,128,91.8,"(32, 5, 95, 121)",13161,911014d366d24281c37b869fbffcc8d9e5324ee1ddac18e0a47bdf08d8f00e0e,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/overflowBuffer.png,items,128,128,70.9,"(10, 5, 120, 123)",29430,e5879552bd530fb15df2bc10a910f9fb9a2bcc1686f0678a523e1a9e29190b6e,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/overflowVent.png,items,128,128,96.4,"(41, 5, 87, 123)",9877,bef351ed854d88d1b2ebb2839e88c490e6ffddf14f68c2fab0331d5333c3ef9c,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/overkill_matrix.png,items,128,128,77.5,"(5, 12, 123, 117)",26581,89358c1a42e1b0f60b2398d7a5102d1bc9af0181dd2bd0c5d99364eb909aefbb,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/overload_capacitor.png,items,128,128,90.5,"(28, 5, 99, 123)",15790,f6054b5dcc5dd6ccdf6919a93d36e27e749d96eb906b5b6f39e45efc328acf22,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/overloadLoop.png,items,128,128,85.0,"(5, 28, 123, 100)",18823,605710520b84307f2f802ff3b75ed2e87875e60f023209530738fdfd34fce289,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/patch_kit.png,items,128,128,85.9,"(5, 22, 123, 106)",19403,c45f10e9446e1bc5a56d65b460912246bd9648106a6839722d06cb3c987ca77b,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/payload_fuse.png,items,128,128,91.6,"(30, 5, 98, 123)",12609,b515ffa0011422efc73914bd5252f627b135cb6af06b4ba12977a8a0b468b48d,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/phase_scrambler.png,items,128,128,83.9,"(7, 5, 121, 123)",17441,cfdbcc5c3a2104bdba7bdd23f2406120074407d1c61222d66e82555ff5384b58,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/phase_weave.png,items,128,128,72.7,"(17, 5, 111, 123)",22445,92911364a8ce71315dff35457e9f5148523a5a9c6efad9066d0d02fb3b697843,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/plagueProtocol.png,items,128,128,96.4,"(33, 5, 94, 123)",14692,61a263f83dd9f18544216ed497ee6e160913b911ca6a0d26795758e4d965cfe4,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/predator_lens.png,items,128,128,79.5,"(10, 5, 119, 123)",17246,e174b83812df0beaaa87b1fba7152f6f442483348e71f6091e4127acd689c1e9,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/priming_charge.png,items,128,128,94.1,"(30, 5, 98, 123)",14901,c9d8349b92af100eb3a9c85d362c795d833dead12f96ba4b96f7484ba3f312d5,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/protocol_cell.png,items,128,128,91.8,"(29, 5, 99, 123)",8716,31f0c916d38c5798c66d458b876a514dfa52a6c86e056eac7b7ed6ba8b123281,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/protocol_tap.png,items,128,128,85.4,"(9, 5, 119, 123)",16843,0be2580233fd918e14aeb83c7217feadf7da7488203aa349622e1e739e27f1c7,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/protocolOverride.png,items,128,128,96.3,"(30, 5, 98, 123)",10323,6e58e989ced5a0d2ffbe1d12f1acf950a60e520a4cb9c5b5cab5a9cfe33f121e,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/reactive_weave.png,items,32,32,,,1275,3afefb2a19ec4c1b5ba12d21cd4089ec092083acd53c4a8dfe05493e523da452,unverified / source variant,
assets/icons/items/resonanceCascade.png,items,128,128,95.5,"(31, 5, 97, 123)",12953,6ba8b3256696d0bf84e6c8049c9f3e49e0eeb2770ac1726959ddea7b3d86f93b,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/resonantChorus.png,items,128,128,44.7,"(4, 0, 124, 128)",27496,7efd92b0140bee6ee7616de919ffdc2a61c1a98c7191f5e2a4ad50cacbc19c44,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/reverse_gimbal.png,items,128,128,84.7,"(5, 8, 123, 120)",26400,cee49edb13aae5a9beedb375552660e529c80abf8490ff89986b01d0164aa8f8,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/rootAccess.png,items,128,128,55.9,"(9, 0, 119, 128)",24682,48b1955fd68265d3091c48a87c67261cf144c793122e6c7bf45c53063a4ec308,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/rust_patch.png,items,32,32,,,1372,e7af5c3fa29c1cf80caed242b2cb422e2cd5e98ebc86a3c3b4bb57ba1de38f28,unverified / source variant,
assets/icons/items/salvageDirective.png,items,128,128,95.1,"(40, 5, 87, 123)",8164,d74e9ddfa951766e0d6de99f83f762ff931c1433c274f31e134c3a50d55ee1ee,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/salvageRig.png,items,128,128,76.3,"(20, 0, 107, 128)",16190,ffb74d0c824a2077e6607961c5316a6e8fab8428fce248f5b62dacb3ebd0714f,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/scatter_veil_array.png,items,128,128,76.1,"(5, 6, 123, 122)",26682,c5f0fd0df2d638833c4440a633f8b3b5a5feb87079ffc01673405fd2bcd7cdc7,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/scavenger_rig.png,items,32,32,,,1253,23cb7cd86ebedd07e140c1f97b150c55076e953cdeaf426add5132760a1bbba3,unverified / source variant,
assets/icons/items/scavengerManifest.png,items,128,128,94.5,"(37, 5, 91, 123)",10293,c80849af533c29eff562590d726fa4855c9dbc80e123fff9db6947338c8533aa,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/scrap_plate.png,items,128,128,80.6,"(5, 15, 123, 113)",17289,57866f5a0f354e0e54dd2d45918d447e15abbaef83e9d6e44af6d64228934e59,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/shock_charge.png,items,128,128,83.3,"(5, 5, 122, 123)",30242,61e2c566947cd4610d538dafc777af3a230c8f87a527590ec40d01ed654c2dd1,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/signal_jammer_mk2.png,items,32,32,,,1273,33a778d9ac60d952c32d4eca96ac41c920616afbdc1c09ae37d5445efaced1ed,unverified / source variant,
assets/icons/items/signalJam.png,items,128,128,98.0,"(33, 5, 95, 123)",11720,553b84b163a87943365a08557d52eee51a08b8cfa9afbd66cce0571ed33f69d6,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/siphon_loop.png,items,128,128,85.2,"(5, 12, 123, 116)",22618,0f343431e4b891ee333f1b1373a24682e27fe8a000224a1a4bcca60433acfab9,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/spike_driver.png,items,128,128,94.1,"(5, 28, 123, 100)",14027,5d4e8cc2191358a0e6ac3554ecf4904be869f356c46296353a3d4ad22132432a,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/standingOrder.png,items,128,128,91.6,"(32, 5, 96, 123)",11550,15ed706069493f4b23ea5be7fd1d17a06980dbc260b20ea776c67f8ebf942659,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/staticField.png,items,128,128,93.3,"(31, 7, 97, 123)",9868,5372fe874017f3c9c3a7678e0e803dc9d5057545a0e54c06918c183fc3b2c2f9,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/stim_injector.png,items,128,128,78.3,"(5, 9, 123, 119)",20441,93636928110c76d377ba11ed4acbbf75ce54421537188b0da1189ed7de65a949,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/sync_antenna.png,items,128,128,86.1,"(20, 5, 108, 123)",23044,28f33bd388ebf66dbdc7200e95231b95d67d9ecb44f3c4000f0be672f78f34a8,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/targeting_optic.png,items,128,128,91.7,"(29, 5, 99, 123)",12777,25c562ecf0bd5bc425f7e6567603279afd954fcb7866211b4acaefad83775a5a,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/terminal_spike.png,items,32,32,,,1290,459b7b7e4e62ed60b658709ec68bd1336f2b62771da95abb8cb4581a7ddf35ef,unverified / source variant,
assets/icons/items/thermite_canister.png,items,32,32,,,1187,d029005bd191c15fe99fca80e1caf158c3ad16cf289bfe2861a1c77ff967ed60,unverified / source variant,
assets/icons/items/training_datachip.png,items,32,32,,,1197,85738ec904b4c2540af66228001511252cd0144d21bbbb2746b5db457acc88bf,unverified / source variant,
assets/icons/items/triage_broadcast.png,items,128,128,92.0,"(5, 11, 123, 117)",15938,2242dc789167f2fdee4856536cd34d947977f17e9d9f9c0bdf07987b194f124b,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/triage_gel.png,items,128,128,89.8,"(28, 7, 100, 123)",11745,535d6f29c34bcde00976301f36f86ef5f5a5b5b517400cc5bcccff3a54f7ab10,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/twinFates.png,items,128,128,97.6,"(31, 5, 97, 123)",7224,02934c06f9b3fef622c1a6bbf0f18342801728f8c69bc6a7fb5ab4d4d80e642a,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/void_shard.png,items,32,32,,,1211,e95783a24e42b9f1b2df01751347c0a99a90806dc77b43ddecff0b9d2325b995,unverified / source variant,
assets/icons/items/warframe_core.png,items,128,128,78.8,"(13, 5, 115, 123)",26929,6b2acc3d709cfd442dd23ee60355aec6928c5e13743e48420be39490c613c80b,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/wide_aperture.png,items,128,128,66.7,"(5, 7, 123, 121)",27012,a7ca588b7032788d247f679c5f21305c4bf3cce6acfe79aa057ccca2e9cb3c7f,literal reference,scripts/autoloads/DataManager.gd
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_01.png,source-pack,32,32,,,1195,53b0c51977b41f7adc66f960c32c38698054b0e21b2e911d33ec0e117b50ab82,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_02.png,source-pack,32,32,,,1283,8d665cc018472a7b5f214bbf782aa82d3e75a97556ae49e1b79efe60f6ab6af1,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_03.png,source-pack,32,32,,,1248,0e411fa1fa5272bef27c9067ee0cca80d3b10acb1dfaf07381d977520d9c5e8a,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_04.png,source-pack,32,32,,,1262,9b322606480f838a5bd0acc4c80683da4aabd50e8d367f6c22891a1ebd1afdb4,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_05.png,source-pack,32,32,,,1227,4b96f3dfd6a56f6725d695aaddfd761163b9d3e0d6d2ce5a9d39ea1d234db696,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_06.png,source-pack,32,32,,,1261,9ae126403f0e7c3e225c082e4c80a0c772e868de316b1d8b9365d3cc3d1b574b,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_07.png,source-pack,32,32,,,1183,3054b151e40af11d1547cf738554b23281dba4ec39943dfe19531bcae533320c,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_08.png,source-pack,32,32,,,1307,fc0bd3bd137d98539669419c071f245b071220c4b66da084fd2953315156ad80,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_09.png,source-pack,32,32,,,1214,e79dcb6a7e2ccb9077feadc976d06a5c2654037fabac047d00df56fc84addc92,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_10.png,source-pack,32,32,,,1301,29b1fe54e81f229b009a733394d7451cda421c96df71b2305ddecbef6c3f56c6,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_11.png,source-pack,32,32,,,1416,815aaf24d0b98110a8b349977b4510b77c48e0a3dfc6a1f7c8966edf37dc0a75,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_12.png,source-pack,32,32,,,1243,fc17bcfa415d23ef259d0a33b5ddb03911eace081a083f53d36e883f1446d6e8,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_13.png,source-pack,32,32,,,1337,9cd1a46f47e3e071e18a9d3d1248b8214cd31e0c829afc97ae9ad7b154665b6b,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_14.png,source-pack,32,32,,,1300,57744525a3b8fbcb028219e97b3301a6311c79185a52d8c5e2ab387dc97c14be,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_15.png,source-pack,32,32,,,1353,666a16b5290d9a318de59b72b0ebf984c55e2501bb11bb827af68ceb58f9ddb9,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_16.png,source-pack,32,32,,,1283,992502f56c37eef83d22bd721a3f5b12be0f2664b725a461841eb724090310c7,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_17.png,source-pack,32,32,,,1352,31d4217ae498be9e141ea0970f546abefd838b1c5206d4e4f19f31c4497bf8d5,unverified / source variant,
assets/icons/new icons/Free-Clothing-32x32-Pixel-Icons/1 Icons/Icon30_18.png,source-pack,32,32,,,1252,d77674c62b4f09f57db2065baef5e5a61a8e5ddfb1566a85d2eabad5f0cf91ee,unverified / source variant,
